"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",2646.00980488766
"2","member","Sunday",1014.86806094991
"3","casual","Monday",2268.38314780812
"4","member","Monday",860.7440581558
"5","casual","Tuesday",2048.47557672273
"6","member","Tuesday",836.445643099326
"7","casual","Wednesday",2042.44981574331
"8","member","Wednesday",843.256780802869
"9","casual","Thursday",2016.67876222059
"10","member","Thursday",826.617003005582
"11","casual","Friday",2190.50632557057
"12","member","Friday",872.207574446708
"13","casual","Saturday",2460.94511042677
"14","member","Saturday",979.979309497146
